rank,rider,team,b,p,year,distance_km,number_of_stages,time_sec,time_gap_to_winner_sec,result_type
54,André Foucher,Liberia-Grammont-Clement,,,1962,4274,24,419617,7303,time
55,Fernand Picot,Peugeot - BP - Dunlop,,,1962,4274,24,419718,7404,time
56,Pierre Everaert,Acbb-Saint Raphael-Helyett-Hutchinson,,,1962,4274,24,419790,7476,time
57,Joseph Groussard,Pelforth - Sauvage - Lejeune,,,1962,4274,24,420200,7886,time
58,Jean Dotto,Liberia-Grammont-Clement,,,1962,4274,24,420266,7952,time
59,Carlo Brugnami,G.s. Philco,,,1962,4274,24,420340,8026,time
60,Jean Milesi,Liberia-Grammont-Clement,,,1962,4274,24,420466,8152,time
61,Pierino Baffi,G.s. Ghizzi,,,1962,4274,24,420670,8356,time
62,Edgard Sorgeloos,Faema-Flandria-Clement,,,1962,4274,24,420772,8458,time
63,Rino Benedetti,Moschettieri-Ignis,,,1962,4274,24,420982,8668,time
64,Giorgio Zancanaro,G.s. Philco,,,1962,4274,24,420997,8683,time
65,Stéphan Lach,Peugeot - BP - Dunlop,,,1962,4274,24,421011,8697,time
66,Peppino Dante,Legnano - Pirelli,,,1962,4274,24,421025,8711,time
67,Emmanuel Busto,Peugeot - BP - Dunlop,,,1962,4274,24,421140,8826,time
68,Jean-Claude Annaert,Acbb-Saint Raphael-Helyett-Hutchinson,,,1962,4274,24,421358,9044,time
69,Edouard Bihouee,Mercier - BP - Hutchinson,,,1962,4274,24,421375,9061,time
70,Willy Vannitsen,Wiels-Groene Loew,,,1962,4274,24,421507,9193,time
71,Giuseppe Sartore,Carpano,,,1962,4274,24,421527,9213,time
72,Georges Groussard,Pelforth - Sauvage - Lejeune,,,1962,4274,24,421563,9249,time
73,Arturo Sabbadin,G.s. Gazzola-Fiorelli-Hutchinson,,,1962,4274,24,421750,9436,time
74,Hilaire Couvreur,Carpano,,,1962,4274,24,421804,9490,time
75,Mario Minieri,G.s. Ghizzi,,,1962,4274,24,421910,9596,time
76,Anatole Novak,V.c. Xii-Leroux-Gitane-Dunlop,,,1962,4274,24,421987,9673,time
77,Jacques De Boever,Liberia-Grammont-Clement,,,1962,4274,24,422160,9846,time
78,Jean Forestier,V.c. Xii-Leroux-Gitane-Dunlop,,,1962,4274,24,422249,9935,time
79,Bernard Viot,Peugeot - BP - Dunlop,,,1962,4274,24,422351,10037,time
80,Antonio Bailetti,Carpano,,,1962,4274,24,422909,10595,time
81,Giuseppe 'pino' Cerami,Peugeot - BP - Dunlop,,,1962,4274,24,422966,10652,time
82,Italo Mazzacurati,Moschettieri-Ignis,,,1962,4274,24,423022,10708,time
83,Franco Magnani,G.s. Ghizzi,,,1962,4274,24,423407,11093,time
84,Roberto Falaschi,G.s. Philco,,,1962,4274,24,423413,11099,time
85,Marc Huiart,Liberia-Grammont-Clement,,,1962,4274,24,424940,12626,time
86,Luigi Sarti,G.s. Ghizzi,,,1962,4274,24,425025,12711,time
87,Giovanni Bettinelli,Legnano - Pirelli,,,1962,4274,24,425522,13208,time
88,Giuseppe Tonucci,Moschettieri-Ignis,,,1962,4274,24,425693,13379,time
89,Jean Selic,Liberia-Grammont-Clement,,,1962,4274,24,425737,13423,time
90,Dino Bruni,G.s. Gazzola-Fiorelli-Hutchinson,,,1962,4274,24,425746,13432,time
91,Emilio Ciolli,Legnano - Pirelli,,,1962,4274,24,425795,13481,time
92,Jean Le Lan,Acbb-Saint Raphael-Helyett-Hutchinson,,,1962,4274,24,425816,13502,time
93,Carlo Guarguaglini,Moschettieri-Ignis,,,1962,4274,24,427203,14889,time
94,Augusto Marcaletti,Moschettieri-Ignis,,,1962,4274,24,428482,16168,time
1,Jacques Anquetil,V.c. Xii-Saint Raphael-Gitane-Dunlop,,,1963,4138,23,408605,0,time
2,Federico Bahamontes,Margnat - Paloma - Motul - Dunlop,,,1963,4138,23,408820,215,time
3,José Perez Llacer,Ferrys,,,1963,4138,23,409219,614,time
4,Jean-Claude Lebaube,V.c. Xii-Saint Raphael-Gitane-Dunlop,,,1963,4138,23,409320,715,time
5,Armand Desmet,Faema - Flandria,,,1963,4138,23,409505,900,time
6,Angelino Soler,Faema - Flandria,,,1963,4138,23,409509,904,time
7,Renzo Fontona,I.b.a.c-Molteni,,,1963,4138,23,409532,927,time
8,Raymond Poulidor,Mercier - BP - Hutchinson,,,1963,4138,23,409611,1006,time
9,Hans Junkermann,Wiels-Groene Leeuw,,,1963,4138,23,409738,1133,time
10,Rik Van Looy,G.b.c-Libertas,,,1963,4138,23,409769,1164,time
11,Henri Anglade,Pelforth - Sauvage - Lejeune - Wolber,,,1963,4138,23,409904,1299,time
12,Fernando Manzaneque,Ferrys,,,1963,4138,23,409955,1350,time
13,Eddy Pauwels,Wiels-Groene Leeuw,,,1963,4138,23,410108,1503,time
14,Francisco Gabica,KAS,,,1963,4138,23,410209,1604,time
15,Dieter Puschel,Wiels-Groene Leeuw,,,1963,4138,23,410305,1700,time
16,Alan Ramsbottom,Pelforth - Sauvage - Lejeune - Wolber,,,1963,4138,23,410441,1836,time
17,Miguel Pacheco,KAS,,,1963,4138,23,410501,1896,time
18,Graziano Battistini,I.b.a.c-Molteni,,,1963,4138,23,410531,1926,time
19,François Mahe,Pelforth - Sauvage - Lejeune - Wolber,,,1963,4138,23,410635,2030,time
20,Jean Gainche,Mercier - BP - Hutchinson,,,1963,4138,23,410743,2138,time
21,Ferdinand Bracke,Peugeot - BP - Englebert,,,1963,4138,23,410997,2392,time
22,Victor Van Schil,Mercier - BP - Hutchinson,,,1963,4138,23,411070,2465,time
23,Jos Hoevenaers,Peugeot - BP - Englebert,,,1963,4138,23,411147,2542,time
24,Albertus Geldermans,V.c. Xii-Saint Raphael-Gitane-Dunlop,,,1963,4138,23,411187,2582,time
25,Frans Brands,Faema - Flandria,,,1963,4138,23,411305,2700,time
26,Henri Duez,Peugeot - BP - Englebert,,,1963,4138,23,411566,2961,time
27,Rogelio Hernandez,Ferrys,,,1963,4138,23,411867,3262,time
28,Jean Dotto,Margnat - Paloma - Motul - Dunlop,,,1963,4138,23,411912,3307,time
29,Antonio Gomez Del Moral,Faema - Flandria,,,1963,4138,23,411946,3341,time
30,Robert Cazala,Mercier - BP - Hutchinson,,,1963,4138,23,412007,3402,time
31,Gérard Thielin,V.c. Xii-Saint Raphael-Gitane-Dunlop,,,1963,4138,23,412039,3434,time
32,Esteban Martin,Ferrys,,,1963,4138,23,412375,3770,time
33,Henri Dewolf,Solo-Terrot-Englebert,,,1963,4138,23,412413,3808,time
34,Dick Enthoven,Pelforth - Sauvage - Lejeune - Wolber,,,1963,4138,23,412531,3926,time
35,Antonio Bertran Panades,Ferrys,,,1963,4138,23,412651,4046,time
36,Sébastien Elorza,KAS,,,1963,4138,23,412720,4115,time
37,Guy Ignolin,V.c. Xii-Saint Raphael-Gitane-Dunlop,,,1963,4138,23,412760,4155,time
38,Luis Otano,Margnat - Paloma - Motul - Dunlop,,,1963,4138,23,412785,4180,time
39,Ludo Janssens,G.b.c-Libertas,,,1963,4138,23,412842,4237,time
40,Gabriel Mas,Ferrys,,,1963,4138,23,412950,4345,time
41,Emilio Cruz Diaz,Ferrys,,,1963,4138,23,413211,4606,time
42,Frans Aerenhouts,G.b.c-Libertas,,,1963,4138,23,413446,4841,time
43,Antonio Suarez,Faema - Flandria,,,1963,4138,23,413535,4930,time
44,Gilbert De Smet,Wiels-Groene Leeuw,,,1963,4138,23,413706,5101,time
45,Guillaume Van Tongerloo,G.b.c-Libertas,,,1963,4138,23,413819,5214,time
46,Juan Campillo Garcia,Margnat - Paloma - Motul - Dunlop,,,1963,4138,23,413860,5255,time
47,Pierre Beuffeuil,Mercier - BP - Hutchinson,,,1963,4138,23,413878,5273,time
48,Guy Epaud,Pelforth - Sauvage - Lejeune - Wolber,,,1963,4138,23,413971,5366,time
49,Benoni Beheyt,Wiels-Groene Leeuw,,,1963,4138,23,414093,5488,time
50,Valentin Uriona,KAS,,,1963,4138,23,414130,5525,time
51,Georges Groussard,Pelforth - Sauvage - Lejeune - Wolber,,,1963,4138,23,414133,5528,time
52,Claude Mattio,Margnat - Paloma - Motul - Dunlop,,,1963,4138,23,414145,5540,time
53,Loris Guernieri,Carpano,,,1963,4138,23,414219,5614,time
54,Antonio Karmany,Ferrys,,,1963,4138,23,414355,5750,time
55,Antonio Bailetti,Carpano,,,1963,4138,23,414374,5769,time
56,Martin Van Geneugden,G.b.c-Libertas,,,1963,4138,23,414764,6159,time
57,André Foucher,Pelforth - Sauvage - Lejeune - Wolber,,,1963,4138,23,415006,6401,time
58,Marcel Ongenae,Faema - Flandria,,,1963,4138,23,415006,6401,time
59,Anatole Novak,V.c. Xii-Saint Raphael-Gitane-Dunlop,,,1963,4138,23,415109,6504,time
60,Alphonse Hellemans,Mercier - BP - Hutchinson,,,1963,4138,23,415394,6789,time
61,Seamus Elliott,V.c. Xii-Saint Raphael-Gitane-Dunlop,,,1963,4138,23,415495,6890,time
62,Joseph Thomin,Margnat - Paloma - Motul - Dunlop,,,1963,4138,23,415596,6991,time
63,Pierre Everaert,V.c. Xii-Saint Raphael-Gitane-Dunlop,,,1963,4138,23,415722,7117,time
64,Joseph Groussard,Pelforth - Sauvage - Lejeune - Wolber,,,1963,4138,23,415933,7328,time
65,Louis Proost,Solo-Terrot-Englebert,,,1963,4138,23,415963,7358,time
66,Raymond Impanis,Peugeot - BP - Englebert,,,1963,4138,23,416095,7490,time
67,Emile Daems,Peugeot - BP - Englebert,,,1963,4138,23,416211,7606,time
68,Jean Milesi,Mercier - BP - Hutchinson,,,1963,4138,23,416431,7826,time
69,Robert Lelangue,Solo-Terrot-Englebert,,,1963,4138,23,416692,8087,time
70,Jean Paul Simon,Peugeot - BP - Englebert,,,1963,4138,23,416883,8278,time
71,Raul Rey,Ferrys,,,1963,4138,23,417082,8477,time
72,Jean Graczyk,Margnat - Paloma - Motul - Dunlop,,,1963,4138,23,417156,8551,time
73,Roger De Breuker,Solo-Terrot-Englebert,,,1963,4138,23,417167,8562,time
74,Auguste Verhaegen,Mercier - BP - Hutchinson,,,1963,4138,23,417365,8760,time
76,Willy Derboven,G.b.c-Libertas,,,1963,4138,23,418515,9910,time
1,Jacques Anquetil,V.c. Xii-Saint Raphael-Gitane-Campagnolo,,,1964,4504,25,457784,0,time
2,Raymond Poulidor,Mercier - BP - Hutchinson,,,1964,4504,25,457839,55,time
3,Federico Bahamontes,Margnat - Paloma - Dunlop,,,1964,4504,25,458068,284,time
4,Henri Anglade,Pelforth - Sauvage - Lejeune - Wolber,,,1964,4504,25,458186,402,time
5,Georges Groussard,Pelforth - Sauvage - Lejeune - Wolber,,,1964,4504,25,458418,634,time
6,André Foucher,Pelforth - Sauvage - Lejeune - Wolber,,,1964,4504,25,458420,636,time
7,Julio Jimenez,Kas - Kaskol,,,1964,4504,25,458517,733,time
8,Gilbert Desmet,Wiels-Groene Leeuw,,,1964,4504,25,458521,737,time
9,Hans Junkermann,Wiels-Groene Leeuw,,,1964,4504,25,458626,842,time
10,Vittorio Adorni,Salvarani,,,1964,4504,25,458643,859,time
11,Esteban Martin,Margnat - Paloma - Dunlop,,,1964,4504,25,459295,1511,time
12,Fernando Manzaneque,Ferrys,,,1964,4504,25,459713,1929,time
13,Francisco Gabica,Kas - Kaskol,,,1964,4504,25,460291,2507,time
14,Tom Simpson,Peugeot - BP - Englebert,,,1964,4504,25,460294,2510,time
15,Rudi Altig,V.c. Xii-Saint Raphael-Gitane-Campagnolo,,,1964,4504,25,460312,2528,time
16,Karl-Heinz Kunde,Wiels-Groene Leeuw,,,1964,4504,25,460320,2536,time
17,Joaquim Galera,Kas - Kaskol,,,1964,4504,25,460411,2627,time
18,Henri Duez,Peugeot - BP - Englebert,,,1964,4504,25,460560,2776,time
19,Joseph Novales,Margnat - Paloma - Dunlop,,,1964,4504,25,460713,2929,time
20,Eddy Pauwels,Margnat - Paloma - Dunlop,,,1964,4504,25,460786,3002,time
21,Arnaldo Pambianco,Salvarani,,,1964,4504,25,460904,3120,time
22,Louis Rostollan,V.c. Xii-Saint Raphael-Gitane-Campagnolo,,,1964,4504,25,461090,3306,time
23,Sébastien Elorza,Kas - Kaskol,,,1964,4504,25,461098,3314,time
24,Jan Janssen,Pelforth - Sauvage - Lejeune - Wolber,,,1964,4504,25,461355,3571,time
25,Battista Babini,Salvarani,,,1964,4504,25,461708,3924,time
26,Rogelio Hernandez,Ferrys,,,1964,4504,25,461880,4096,time
27,Claude Mattio,Margnat - Paloma - Dunlop,,,1964,4504,25,462209,4425,time
28,Raymond Mastrotto,Peugeot - BP - Englebert,,,1964,4504,25,462378,4594,time
29,Paul Vermeulen,Mercier - BP - Hutchinson,,,1964,4504,25,462514,4730,time
30,Willy Monty,Pelforth - Sauvage - Lejeune - Wolber,,,1964,4504,25,462790,5006,time
31,Jean Gainche,Mercier - BP - Hutchinson,,,1964,4504,25,463084,5300,time
32,Victor Van Schil,Mercier - BP - Hutchinson,,,1964,4504,25,463197,5413,time
33,Edward Sels,Solo - Superia,,,1964,4504,25,463279,5495,time
34,Guy Epaud,Pelforth - Sauvage - Lejeune - Wolber,,,1964,4504,25,463376,5592,time
35,Jean Stablinski,V.c. Xii-Saint Raphael-Gitane-Campagnolo,,,1964,4504,25,463434,5650,time
36,André Zimmermann,V.c. Xii-Saint Raphael-Gitane-Campagnolo,,,1964,4504,25,463656,5872,time
37,Hubertus Zilverberg,Flandria-Romeo,,,1964,4504,25,463874,6090,time
38,Albertus Geldermans,V.c. Xii-Saint Raphael-Gitane-Campagnolo,,,1964,4504,25,464168,6384,time
39,Cees Haast,Televizier,,,1964,4504,25,464308,6524,time
40,Gilbert De Smet,Wiels-Groene Leeuw,,,1964,4504,25,464336,6552,time
41,Juan-Maria Uribezubia,Kas - Kaskol,,,1964,4504,25,464417,6633,time
42,Camille Vyncke,Flandria-Romeo,,,1964,4504,25,465061,7277,time
43,Johan De Roo,V.c. Xii-Saint Raphael-Gitane-Campagnolo,,,1964,4504,25,465067,7283,time
44,Luis Otano,Ferrys,,,1964,4504,25,465115,7331,time
45,José Segu,Margnat - Paloma - Dunlop,,,1964,4504,25,465138,7354,time
46,Antonio Franchi,Salvarani,,,1964,4504,25,465252,7468,time
47,Robert Poulot,Mercier - BP - Hutchinson,,,1964,4504,25,465430,7646,time
48,Bruno Fantinato,Salvarani,,,1964,4504,25,465439,7655,time
49,Benoni Beheyt,Wiels-Groene Leeuw,,,1964,4504,25,465531,7747,time
50,Italo Mazzacurati,Salvarani,,,1964,4504,25,465532,7748,time
51,Edouard Delberghe,Pelforth - Sauvage - Lejeune - Wolber,,,1964,4504,25,465624,7840,time
52,Manuel Martin Pinera,Kas - Kaskol,,,1964,4504,25,465707,7923,time
54,Hubert Ferrer,Pelforth - Sauvage - Lejeune - Wolber,,,1964,4504,25,466003,8219,time
55,Antonio Bertran Panades,Ferrys,,,1964,4504,25,466162,8378,time
56,Michaël Wright,Wiels-Groene Leeuw,,,1964,4504,25,466192,8408,time
57,Bernard Van De Kerkhove,Solo - Superia,,,1964,4504,25,466333,8549,time
58,Michel Van Aerde,Solo - Superia,,,1964,4504,25,466361,8577,time
59,Robert Cazala,Mercier - BP - Hutchinson,,,1964,4504,25,466505,8721,time
60,Jo De Haan,Televizier,,,1964,4504,25,466591,8807,time
61,Edgard Sorgeloos,Solo - Superia,,,1964,4504,25,466866,9082,time
62,Mario Minieri,Salvarani,,,1964,4504,25,466933,9149,time
63,Pierre Everaert,V.c. Xii-Saint Raphael-Gitane-Campagnolo,,,1964,4504,25,466973,9189,time
64,Piet Van Est,Televizier,,,1964,4504,25,467090,9306,time
65,Barry Hoban,Mercier - BP - Hutchinson,,,1964,4504,25,467372,9588,time
66,Henk Nijdam,Televizier,,,1964,4504,25,467506,9722,time
67,André Darrigade,Margnat - Paloma - Dunlop,,,1964,4504,25,467513,9729,time
68,Willy Derboven,Solo - Superia,,,1964,4504,25,467573,9789,time
69,Camille Le Menn,Peugeot - BP - Englebert,,,1964,4504,25,467900,10116,time
70,Frans Brands,Flandria-Romeo,,,1964,4504,25,467952,10168,time
71,François Hamon,Peugeot - BP - Englebert,,,1964,4504,25,468007,10223,time
72,Vic Denson,Solo - Superia,,,1964,4504,25,468427,10643,time
73,Antonio Barrutia,Kas - Kaskol,,,1964,4504,25,468461,10677,time
74,Joseph Groussard,Pelforth - Sauvage - Lejeune - Wolber,,,1964,4504,25,468552,10768,time
75,Frans Aerenhouts,Mercier - BP - Hutchinson,,,1964,4504,25,468770,10986,time
76,Jean Graczyk,Margnat - Paloma - Dunlop,,,1964,4504,25,468845,11061,time
77,Jean Milesi,Margnat - Paloma - Dunlop,,,1964,4504,25,469011,11227,time
78,Jean-Pierre Genet,Mercier - BP - Hutchinson,,,1964,4504,25,469359,11575,time
79,Jean-Baptiste Claes,Wiels-Groene Leeuw,,,1964,4504,25,469361,11577,time
80,Salvador Honrubia,Ferrys,,,1964,4504,25,469611,11827,time
81,Anatole Novak,V.c. Xii-Saint Raphael-Gitane-Campagnolo,,,1964,4504,25,469726,11942,time
1,Felice Gimondi,Salvarani,,,1965,4188,24,420126,0,time
2,Raymond Poulidor,Mercier - BP - Hutchinson,,,1965,4188,24,420286,160,time
3,Gianni Motta,Molteni-Ignis,,,1965,4188,24,420684,558,time
4,Henri Anglade,Pelforth - Sauvage - Lejeune - Wolber,,,1965,4188,24,420889,763,time
5,Jean-Claude Lebaube,Ford - France - Gitane - Dunlop,,,1965,4188,24,420902,776,time
6,José Perez Llacer,Ferrys,,,1965,4188,24,420921,795,time
7,Guido De Rosso,Molteni-Ignis,,,1965,4188,24,421014,888,time
8,Frans Brands,Flandria-Romeo,,,1965,4188,24,421182,1056,time
9,Jan Janssen,Pelforth - Sauvage - Lejeune - Wolber,,,1965,4188,24,421198,1072,time
10,Francisco Gabica,Kas - Kaskol,,,1965,4188,24,421277,1151,time
11,Karl-Heinz Kunde,Wiels-Groene Leeuw,,,1965,4188,24,421287,1161,time
12,Roger Pingeon,Peugeot - BP - Michelin,,,1965,4188,24,421358,1232,time
13,Valentin Uriona,Kas - Kaskol,,,1965,4188,24,421600,1474,time
14,Henri Duez,Peugeot - BP - Michelin,,,1965,4188,24,421633,1507,time
15,Renzo Fontona,Molteni-Ignis,,,1965,4188,24,421657,1531,time
16,Gilbert Desmet,Wiels-Groene Leeuw,,,1965,4188,24,421810,1684,time
17,André Zimmermann,Peugeot - BP - Michelin,,,1965,4188,24,421901,1775,time
18,André Foucher,Pelforth - Sauvage - Lejeune - Wolber,,,1965,4188,24,421919,1793,time
19,Arnaldo Pambianco,Salvarani,,,1965,4188,24,422094,1968,time
20,Louis Rostollan,Ford - France - Gitane - Dunlop,,,1965,4188,24,422217,2091,time
21,Walter Boucquet,Flandria-Romeo,,,1965,4188,24,422218,2092,time
22,Angelino Soler,Peugeot - BP - Michelin,,,1965,4188,24,422322,2196,time
23,Julio Jimenez,Kas - Kaskol,,,1965,4188,24,422331,2205,time
24,Michaël Wright,Wiels-Groene Leeuw,,,1965,4188,24,422537,2411,time
25,Hans Junkermann,Margnat - Paloma - Inuri - Dunlop,,,1965,4188,24,422608,2482,time
26,Sébastien Elorza,Kas - Kaskol,,,1965,4188,24,422646,2520,time
27,Rik Wouters,Televizier,,,1965,4188,24,422657,2531,time
28,Fernando Manzaneque,Ferrys,,,1965,4188,24,422690,2564,time
29,Gines Garcia,Margnat - Paloma - Inuri - Dunlop,,,1965,4188,24,422723,2597,time
30,Luis Otano,Ferrys,,,1965,4188,24,422953,2827,time
31,Rik Van Looy,Solo - Superia,,,1965,4188,24,422975,2849,time
32,Huub Harings,Televizier,,,1965,4188,24,422976,2850,time
33,Jean-Louis Bodin,Mercier - BP - Hutchinson,,,1965,4188,24,422995,2869,time
34,José-Antonio Momene,Kas - Kaskol,,,1965,4188,24,423007,2881,time
35,Michel Van Aerde,Solo - Superia,,,1965,4188,24,423082,2956,time
36,Giuseppe Fezzardi,Molteni-Ignis,,,1965,4188,24,423131,3005,time
37,Joaquim Galera,Kas - Kaskol,,,1965,4188,24,423181,3055,time
38,Victor Van Schil,Mercier - BP - Hutchinson,,,1965,4188,24,423230,3104,time
39,Raymond Mastrotto,Margnat - Paloma - Inuri - Dunlop,,,1965,4188,24,423246,3120,time
40,Georges Vandenberghe,Flandria-Romeo,,,1965,4188,24,423300,3174,time
41,Roger Swerts,Mercier - BP - Hutchinson,,,1965,4188,24,423316,3190,time
42,Willy Monty,Pelforth - Sauvage - Lejeune - Wolber,,,1965,4188,24,423378,3252,time
43,François Mahe,Pelforth - Sauvage - Lejeune - Wolber,,,1965,4188,24,423395,3269,time
44,Eduardo Castello,Ferrys,,,1965,4188,24,423415,3289,time
45,Auguste Verhaegen,Wiels-Groene Leeuw,,,1965,4188,24,423497,3371,time
46,Juan Sagarduy,Kas - Kaskol,,,1965,4188,24,423555,3429,time
47,Benoni Beheyt,Wiels-Groene Leeuw,,,1965,4188,24,423598,3472,time
48,Gilbert De Smet,Wiels-Groene Leeuw,,,1965,4188,24,423614,3488,time
49,René Binggeli,Molteni-Ignis,,,1965,4188,24,423678,3552,time
50,Henk Nijdam,Televizier,,,1965,4188,24,423848,3722,time
51,Baas Maliepaard,Televizier,,,1965,4188,24,423948,3822,time
52,Johnny Schleck,Pelforth - Sauvage - Lejeune - Wolber,,,1965,4188,24,423983,3857,time
53,Carlos Echevarria,Kas - Kaskol,,,1965,4188,24,423985,3859,time
54,Guido Reybroeck,Flandria-Romeo,,,1965,4188,24,424040,3914,time
55,Johan De Roo,Televizier,,,1965,4188,24,424081,3955,time
56,Joseph Planckaert,Solo - Superia,,,1965,4188,24,424242,4116,time
57,Pietro Partesotti,Salvarani,,,1965,4188,24,424499,4373,time
58,Roland Van De Ryse,Flandria-Romeo,,,1965,4188,24,424504,4378,time
59,Gerben Karstens,Televizier,,,1965,4188,24,424507,4381,time
60,Henri Dewolf,Solo - Superia,,,1965,4188,24,424551,4425,time
61,Frans Aerenhouts,Mercier - BP - Hutchinson,,,1965,4188,24,424576,4450,time
62,Jacques Bachelot,Margnat - Paloma - Inuri - Dunlop,,,1965,4188,24,424630,4504,time
63,Ambrogio Portalupi,Molteni-Ignis,,,1965,4188,24,424740,4614,time
64,Robert Cazala,Mercier - BP - Hutchinson,,,1965,4188,24,424884,4758,time
65,Esteban Martin,Ferrys,,,1965,4188,24,424917,4791,time
66,Anatole Novak,Ford - France - Gitane - Dunlop,,,1965,4188,24,424994,4868,time
67,Kees Lute,Ford - France - Gitane - Dunlop,,,1965,4188,24,425008,4882,time
68,Joseph Timmermann,Wiels-Groene Leeuw,,,1965,4188,24,425155,5029,time
69,Italo Mazzacurati,Salvarani,,,1965,4188,24,425213,5087,time
70,Gilberto Vendemiati,Salvarani,,,1965,4188,24,425216,5090,time
71,Jean Gainche,Mercier - BP - Hutchinson,,,1965,4188,24,425306,5180,time
72,Noël Depauw,Solo - Superia,,,1965,4188,24,425335,5209,time
73,Adriano Durante,Molteni-Ignis,,,1965,4188,24,425355,5229,time
74,Remo Stefanoni,Molteni-Ignis,,,1965,4188,24,425361,5235,time
75,Jean-Pierre Genet,Mercier - BP - Hutchinson,,,1965,4188,24,425537,5411,time
76,Rogelio Hernandez,Ferrys,,,1965,4188,24,425565,5439,time
77,Jo De Haan,Televizier,,,1965,4188,24,425902,5776,time
78,Ambrogio Colombo,Molteni-Ignis,,,1965,4188,24,425912,5786,time
79,Vittorio Adorni,Salvarani,,,1965,4188,24,426109,5983,time
80,Guillaume Van Tongerloo,Flandria-Romeo,,,1965,4188,24,426154,6028,time
81,Yvo Molenaers,Flandria-Romeo,,,1965,4188,24,426168,6042,time
82,Michel Grain,Ford - France - Gitane - Dunlop,,,1965,4188,24,426272,6146,time
83,Jean-Claude Lefebvre,Pelforth - Sauvage - Lejeune - Wolber,,,1965,4188,24,426272,6146,time
84,Edgard Sorgeloos,Solo - Superia,,,1965,4188,24,426297,6171,time
85,Antonio Bertran Panades,Ferrys,,,1965,4188,24,426396,6270,time
86,Diego Ronchini,Salvarani,,,1965,4188,24,426458,6332,time
87,Vic Denson,Ford - France - Gitane - Dunlop,,,1965,4188,24,426462,6336,time
88,François Le Her,Margnat - Paloma - Inuri - Dunlop,,,1965,4188,24,426594,6468,time
89,Léo Van Dongen,Televizier,,,1965,4188,24,426600,6474,time
90,Giacomo Forconi,Molteni-Ignis,,,1965,4188,24,426618,6492,time
91,Mario Minieri,Salvarani,,,1965,4188,24,426880,6754,time
92,Hubert Ferrer,Pelforth - Sauvage - Lejeune - Wolber,,,1965,4188,24,427793,7667,time
93,André Darrigade,Margnat - Paloma - Inuri - Dunlop,,,1965,4188,24,427984,7858,time
94,Jean Milesi,Margnat - Paloma - Inuri - Dunlop,,,1965,4188,24,428624,8498,time
95,Raul Rey,Ferrys,,,1965,4188,24,428683,8557,time
96,Georges Groussard,Pelforth - Sauvage - Lejeune - Wolber,,,1965,4188,24,429524,9398,time
1,Lucien Aimar,Ford-France-Hutchinson,,,1966,4329,25,423261,0,time
2,Jan Janssen,Pelforth - Sauvage - Lejeune - Wolber,,,1966,4329,25,423328,67,time
3,Raymond Poulidor,Mercier - BP - Hutchinson,,,1966,4329,25,423383,122,time
1,Roger Pingeon,France,,,1967,4779,25,492830,0,time
2,Julio Jimenez,Espana,,,1967,4779,25,493050,220,time
3,Franco Balmamion,Primavera,,,1967,4779,25,493273,443,time
4,Désiré Letort,Bleuets De France,,,1967,4779,25,493328,498,time
5,Jan Janssen,Nederland,,,1967,4779,25,493417,587,time
6,Lucien Aimar,France,,,1967,4779,25,493417,587,time
7,Felice Gimondi,Italia,,,1967,4779,25,493444,614,time
8,Joseph Huysmans,Belgique,,,1967,4779,25,493835,1005,time
9,Raymond Poulidor,France,,,1967,4779,25,493928,1098,time
10,Fernando Manzaneque,Esperanza,,,1967,4779,25,493992,1162,time
11,Hans Junkermann,Deutschland,,,1967,4779,25,494212,1382,time
12,Willy Monty,Belgique,,,1967,4779,25,494216,1386,time
13,Frans Brands,Belgique,,,1967,4779,25,494338,1508,time
14,Cees Haast,Nederland,,,1967,4779,25,494413,1583,time
15,Franco Bodrero,Primavera,,,1967,4779,25,494420,1590,time
16,Noël Van Clooster,Diables Rouges,,,1967,4779,25,494430,1600,time
17,José Samyn,Bleuets De France,,,1967,4779,25,494552,1722,time
18,Gines Garcia,Espana,,,1967,4779,25,494566,1736,time
19,André Bayssiere,Coqs De France,,,1967,4779,25,494593,1763,time
20,Johnny Schleck,Suisse-Luxembourg,,,1967,4779,25,494759,1929,time
21,Henri Rabaute,Bleuets De France,,,1967,4779,25,494912,2082,time
22,Giancarlo Polidori,Primavera,,,1967,4779,25,494994,2164,time
23,Jean-Claude Lebaube,Coqs De France,,,1967,4779,25,495073,2243,time
24,Herman Vanspringel,Belgique,,,1967,4779,25,495104,2274,time
25,Wim Schepers,Nederland,,,1967,4779,25,495125,2295,time
26,Raymond Delisle,Coqs De France,,,1967,4779,25,495199,2369,time
27,Roberto Poggiali,Italia,,,1967,4779,25,495233,2403,time
28,Victor Van Schil,Diables Rouges,,,1967,4779,25,495266,2436,time
29,Jean-Claude Theilliere,Coqs De France,,,1967,4779,25,495268,2438,time
30,Gerben Karstens,Nederland,,,1967,4779,25,495276,2446,time
31,Rolf Wolfshohl,Deutschland,,,1967,4779,25,495334,2504,time
32,Flaviano Vicentini,Italia,,,1967,4779,25,495532,2702,time
33,José Lopez Cano,Espana,,,1967,4779,25,495622,2792,time
34,Ugo Colombo,Italia,,,1967,4779,25,495660,2830,time
35,Alfred Rüegg,Suisse-Luxembourg,,,1967,4779,25,495793,2963,time
36,Raymond Mastrotto,Coqs De France,,,1967,4779,25,495840,3010,time
37,Georges Chappe,Bleuets De France,,,1967,4779,25,495854,3024,time
